aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
category,bottoms,clip_text,mrr,0.10102034234879792,0.07375997283657662,0.13237575573828533,200,188
category,outerwear,clip_text,hr_at_1,0.025,0.005076142131979695,0.049019607843137254,200,179
category,outerwear,clip_text,hr_at_5,0.17,0.11855670103092783,0.2233502538071066,200,179
category,outerwear,clip_text,hr_at_10,0.24,0.1791044776119403,0.30198019801980197,200,179
category,outerwear,clip_text,ndcg_at_1,0.025,0.005025125628140704,0.04878048780487805,200,179
category,outerwear,clip_text,ndcg_at_5,0.09996154497106854,0.06922079956603583,0.13363623155604523,200,179
category,outerwear,clip_text,ndcg_at_10,0.12176601809512456,0.08923530113878958,0.15727148356161103,200,179
category,outerwear,clip_text,mrr,0.10719584269842328,0.08246374795845102,0.13523378870925729,200,179
category,shoes,clip_text,hr_at_1,0.05,0.020512820512820513,0.0824754779301371,200,192
category,shoes,clip_text,hr_at_5,0.15,0.10101010101010101,0.2020439543954392,200,192
category,shoes,clip_text,hr_at_10,0.22,0.1625615763546798,0.27860696517412936,200,192
category,shoes,clip_text,ndcg_at_1,0.05,0.024630541871921183,0.0812286335854137,200,192
category,shoes,clip_text,ndcg_at_5,0.09736088729013596,0.06374743149177484,0.13533790047747846,200,192
category,shoes,clip_text,ndcg_at_10,0.11915347496165021,0.08485549650637686,0.15558608963194798,200,192
category,shoes,clip_text,mrr,0.10947135777955484,0.07994032212763469,0.1440038835402329,200,192
category,tops,clip_text,hr_at_1,0.025,0.005050505050505051,0.04926108374384237,200,192
category,tops,clip_text,hr_at_5,0.125,0.08121827411167512,0.1717171717171717,200,192
category,tops,clip_text,hr_at_10,0.205,0.1507537688442211,0.26262626262626265,200,192
category,tops,clip_text,ndcg_at_1,0.025,0.005050505050505051,0.04950495049504951,200,192
category,tops,clip_text,ndcg_at_5,0.07558651147152667,0.047531374140289503,0.10660161682122364,200,192
category,tops,clip_text,ndcg_at_10,0.10014963260642239,0.07054275043928382,0.13243560468541624,200,192
category,tops,clip_text,mrr,0.0917774458419046,0.06885758585824886,0.11800191439189783,200,192
category_macro,all,clip_text,hr_at_1,0.035,0.022909974447598985,0.04785198917487489,1000,734
category_macro,all,clip_text,hr_at_5,0.138,0.11564875076380629,0.1614588442115016,1000,734
category_macro,all,clip_text,hr_at_10,0.21200000000000002,0.18465140098760072,0.2391419821587728,1000,734
category_macro,all,clip_text,ndcg_at_1,0.035,0.022909974447598985,0.04785198917487489,1000,734
category_macro,all,clip_text,ndcg_at_5,0.08633595657276483,0.07082804583088398,0.10281433615111879,1000,734
category_macro,all,clip_text,ndcg_at_10,0.10953596596739301,0.09327376657923787,0.12613364374959118,1000,734
category_macro,all,clip_text,mrr,0.10086538504626112,0.08719162448085417,0.11554390669187678,1000,734
micro,all,evidence_rerank,hr_at_1,0.038,0.02610441767068273,0.05111008048252761,1000,734
micro,all,evidence_rerank,hr_at_5,0.132,0.11044745875485794,0.1550060483870967,1000,734
micro,all,evidence_rerank,hr_at_10,0.225,0.19801930693069308,0.2519843246063366,1000,734
micro,all,evidence_rerank,ndcg_at_1,0.038,0.026025038513007717,0.05104190127627627,1000,734
micro,all,evidence_rerank,ndcg_at_5,0.08471382694736533,0.06877999128424947,0.10107319159802629,1000,734
micro,all,evidence_rerank,ndcg_at_10,0.11445245365921076,0.09849551511442796,0.13159027122706984,1000,734
micro,all,evidence_rerank,mrr,0.1055577534441314,0.09183558005191823,0.11946941329508827,1000,734
category,bags,evidence_rerank,hr_at_1,0.045,0.02,0.075,200,186
category,bags,evidence_rerank,hr_at_5,0.14,0.09267354596622893,0.19,200,186
