case_id,generator_model_id,condition,target_category,trace_size,word_count,trace_support_rate,full_kb_support_rate,unsupported_item_fact_rate,trace_supported_claims_per_100_words
case-c0d252c08d3c46c8,gemma4:12b,rule_rag,bottoms,1,56,0.3333333333333333,0.3333333333333333,,1.7857142857142858
case-ae11ff65d1656b63,gemma4:12b,no_rag,bottoms,1,64,0.0,0.0,,0.0
case-ae11ff65d1656b63,gemma4:12b,rule_rag,bottoms,1,56,0.0,0.0,,0.0
case-c6ff8ba375e0134a,gemma4:12b,no_rag,bottoms,1,60,0.14285714285714285,0.14285714285714285,0.0,3.3333333333333335
case-c6ff8ba375e0134a,gemma4:12b,rule_rag,bottoms,1,62,0.16666666666666666,0.16666666666666666,,1.6129032258064515
case-4ea800318d039661,gemma4:12b,no_rag,bottoms,1,61,0.0,0.0,0.0,0.0
case-4ea800318d039661,gemma4:12b,rule_rag,bottoms,1,69,0.0,0.0,,0.0
case-5453855ce50fe3d3,gemma4:12b,no_rag,bottoms,1,68,0.0,0.0,,0.0
case-5453855ce50fe3d3,gemma4:12b,rule_rag,bottoms,1,63,0.2,0.2,,1.5873015873015872
case-5e15f67213c04556,gemma4:12b,no_rag,bottoms,1,66,0.0,0.0,,0.0
case-5e15f67213c04556,gemma4:12b,rule_rag,bottoms,1,66,0.2,0.2,,1.5151515151515151
case-a66e4375a19a7b26,gemma4:12b,no_rag,bottoms,2,65,0.0,0.0,,0.0
case-a66e4375a19a7b26,gemma4:12b,rule_rag,bottoms,2,68,0.42857142857142855,0.42857142857142855,,4.411764705882353
case-9ca3fbefc8236e27,gemma4:12b,no_rag,bottoms,2,68,0.0,0.0,0.0,0.0
